time,open,high,low,close,volume,dividends,stock splits
1732683600.0,228.8300018310547,229.19000244140625,224.27000427246094,226.9199981689453,2995100,0.0,0.0
1732856400.0,227.75,230.36000061035156,227.19000244140625,227.41000366210938,2640300,0.0,0.0
1733115600.0,227.5,228.3800048828125,225.50999450683594,227.38999938964844,2655900,0.0,0.0
1733202000.0,227.24000549316406,229.11000061035156,226.6699981689453,229.0,3163800,0.0,0.0
1733288400.0,230.0,233.74000549316406,229.35000610351562,233.49000549316406,4104200,0.0,0.0
1733374800.0,233.5500030517578,236.52000427246094,233.4600067138672,234.75,4791100,0.0,0.0
1733461200.0,234.42999267578125,238.3800048828125,234.22000122070312,238.0399932861328,4028400,0.0,0.0
1733720400.0,238.0,239.35000610351562,228.91000366210938,230.0,4970400,0.0,0.0
1733806800.0,228.39999389648438,234.38999938964844,227.8000030517578,231.72000122070312,4769500,0.0,0.0
1733893200.0,232.69000244140625,233.0,229.1300048828125,230.1199951171875,3872700,0.0,0.0
1733979600.0,230.66000366210938,233.88999938964844,230.3800048828125,232.25999450683594,4515700,0.0,0.0
1734066000.0,232.25,233.77999877929688,230.25999450683594,230.82000732421875,2757400,0.0,0.0
1734325200.0,230.72999572753906,231.02999877929688,226.8800048828125,229.3300018310547,3610300,0.0,0.0
1734411600.0,229.22999572753906,230.1999969482422,227.6199951171875,228.97000122070312,3651300,0.0,0.0
1734498000.0,229.0399932861328,229.0399932861328,220.02999877929688,220.1699981689453,4152500,0.0,0.0
1734584400.0,224.4199981689453,226.1999969482422,222.97999572753906,223.9199981689453,4427200,0.0,0.0
1734670800.0,222.72999572753906,227.67999267578125,221.67999267578125,223.36000061035156,12423200,0.0,0.0
1734930000.0,222.80999755859375,223.74000549316406,221.0800018310547,221.92999267578125,2988100,0.0,0.0
1735016400.0,222.27000427246094,224.44000244140625,221.5399932861328,224.41000366210938,1186200,0.0,0.0
1735189200.0,223.30999755859375,225.39999389648438,222.5500030517578,224.88999938964844,3286500,0.0,0.0
